content,score
"It's a good app overall, lots of features! But sometimes there are bugs that need fixing.",NEUTRO
Instagram has its pros and cons.  Sometimes I wish there were more customization options for the feed.,NEUTRO
"Overall, Instagram is pretty standard.  I mean I like the feed updates and new features but don't get crazy excited.",NEUTRO
The new updates have been a bit of a mixed bag for me.  Still waiting on some issues to be resolved but overall I'm happy with how things are going.,NEUTRO
"The new layout is a bit different and I'm still getting used to it, but otherwise it's fine.  I hope they make some adjustments that make things easier!",NEUTRO
The app is pretty straightforward and functional.  Lots of opportunities for fun content.,NEUTRO
Trying to adjust my settings feels a little confusing at times.  It would be helpful if there were more resources on how to manage those.,NEUTRO
"Feels like it's still missing some features, but overall a solid app for me.",NEUTRO
"Overall, Instagram's features are pretty good these days.  Some bugs here and there but for the most part it works smoothly",NEUTRO
It's a little buggy sometimes.  But overall not bad.,NEUTRO
The app has been pretty consistent lately and that's a positive.  Hope they keep up the good work.,NEUTRO
"Overall, Instagram has its ups and downs.  The app's features are convenient but sometimes glitches occur. It can be a bit frustrating at times, but for the most part, I find it functional.",NEUTRO
Instagram is pretty decent overall.  Could be better though.,NEUTRO
"Instagram's features are pretty decent, though I haven't seen much improvement in my follower growth lately.",NEUTRO
"The new interface is a bit jarring, but I'm getting used to it. It feels a little clunky at times.  Still pretty decent overall.",NEUTRO
"Okay, here's a new user comment/review with neutral sentiment about Instagram:

Nothing too drastic changed but app seems smoother now",NEUTRO
Instagram's updates seem inconsistent lately.  A bit frustrating when you go through all that to craft something perfect only for it not to post properly.,NEUTRO
"Instagram has been pretty consistent lately. The app works well most of the time, but there have been a few hiccups here and there.",NEUTRO
It's been pretty consistent for me lately.  I enjoy using the app though.,NEUTRO
"Instagram is a solid app.  I've encountered occasional lag and slow notifications, but overall it's been reliable for me.",NEUTRO
